DEBUG:PIL.Image: Importing MpegImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing MpoImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing MspImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PalmImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PcdImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PcxImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PdfImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PixarImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PngImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PpmImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing PsdImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing SgiImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing SpiderImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing SunImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing TgaImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing TiffImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing WebPImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing WmfImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing XbmImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing XpmImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.Image: Importing XVThumbImagePlugin (2017-03-25 19:39:57; Image.py:397)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-25 20:02:23; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'sRGB' 41 1 (2017-03-25 20:02:23; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'sRGB' 41 1 (unknown) (2017-03-25 20:02:23; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'gAMA' 54 4 (2017-03-25 20:02:23; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 70 9 (2017-03-25 20:02:23; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 91 6149 (2017-03-25 20:02:23; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-25 20:06:44; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'sRGB' 41 1 (2017-03-25 20:06:44; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'sRGB' 41 1 (unknown) (2017-03-25 20:06:44; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'gAMA' 54 4 (2017-03-25 20:06:44; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 70 9 (2017-03-25 20:06:44; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 91 6149 (2017-03-25 20:06:45; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-25 20:07:04; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 41 1969 (2017-03-25 20:07:04; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-27 14:37:54; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 41 3473 (2017-03-27 14:37:55; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 41 9 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 62 2639 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'Photoshop ICC profile' (2017-03-27 15:07:01; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-27 15:07:01; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'cHRM' 2713 32 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'cHRM' 2713 32 (unknown) (2017-03-27 15:07:01; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2757 20427 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 41 29361 (2017-03-27 15:07:01; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-27 15:12:02; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 41 1030 (2017-03-27 15:12:02; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-27 15:12:02; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-27 15:12:02; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-27 15:12:02; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-27 15:12:02; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 1292 (2017-03-27 15:12:02; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-28 22:15:24; PngImagePlugin.py:135)
